bairro,Com_Autodeclaração,Sem_Autodeclaração,Com_Ensino,Sem_Ensino,Com_Renda,Sem_Renda
Parada de Lucas,4,1,4,1,1,4
Parque Alian,1,0,0,1,1,0
Parque Amorin,1,0,1,0,1,0
Parque Analândia,0,1,0,1,0,1
Parque Anchieta,4,0,3,1,1,3
Parque Beira Mar,0,1,0,1,0,1
Parque Centenário,0,1,1,0,1,0
Parque Fluminense,0,1,0,1,1,0
Parque Paraíso,1,0,1,0,0,1
Parque Pauliceia,0,1,0,1,0,1
Parque Senhor do Bonfim,0,1,0,1,0,1
Pauliceia,0,1,0,1,0,1
Pavuna,6,6,7,5,5,7
Pechincha,5,9,4,10,3,11
Pedra de Guaratiba,1,1,2,0,1,1
Pendotiba,1,0,0,1,0,1
Penha,2,4,1,5,2,4
Penha Circular,2,9,2,9,2,9
Piabetá,0,1,1,0,1,0
Piedade,4,3,3,4,1,6
Pilar,1,0,0,1,0,1
Pilares,2,4,2,4,1,5
Piratininga,0,1,0,1,0,1
Pita,0,1,0,1,1,0
Ponta D Areia,1,2,1,2,0,3
Porto da Pedra,0,1,0,1,0,1
Porto da Roça,0,1,1,0,0,1
Porto Novo,1,0,0,1,0,1
Portuguesa,0,3,3,0,1,2
Praça da Bandeira,0,1,0,1,0,1
Praça Seca,9,5,5,9,2,12
Praça Seca - Jacarepaguá,0,1,0,1,0,1
Praia Da Luz,0,1,1,0,1,0
Quintino Bocaiúva,5,2,7,0,4,3
Ramos,10,7,13,4,10,7
Realengo,8,7,9,6,9,6
Recreio,0,1,1,0,1,0
Recreio dos Bandeirantes,4,3,3,4,2,5
Riachuelo,1,3,3,1,3,1
Ribeira,0,1,1,0,0,1
Ricardo de Albuquerque,1,1,1,1,0,2
Rio Comprido,1,4,4,1,1,4
Rio das Pedras,1,2,3,0,2,1
Rio do Ouro,1,1,1,1,1,1
Rio Várzea,0,1,1,0,0,1
Rocha,3,0,2,1,2,1
Rocha Miranda,4,2,4,2,6,0
Rocha Sobrinho,1,0,0,1,0,1
Rocinha,4,3,6,1,5,2
Sabugo,0,1,0,1,0,1
Saco,0,1,0,1,0,1
Sampaio,1,0,0,1,0,1
Santa Cruz,5,4,7,2,1,8
Santa Cruz da Serra,0,1,0,1,1,0
Santa Maria - Jacarepaguá,1,0,1,0,0,1
Santa Rosa,1,2,0,3,0,3
Santa Teresa,2,5,2,5,4,3
Santíssimo,3,3,5,1,2,4
Santo Antonio - Piratininga,0,1,0,1,0,1
Santo Cristo,0,1,0,1,0,1
São Bernardo,1,0,1,0,0,1
São Cristovão,5,6,5,6,5,6
São Francisco Xavier,0,1,0,1,0,1
São João de Meriti,1,0,0,1,0,1
São Joaquim,1,0,1,0,1,0
São Mateus,0,1,0,1,1,0
São Matheus,1,1,1,1,1,1
São Miguel,0,1,0,1,0,1
Saracuruna,1,2,0,3,1,2
Senador Camará,5,3,6,2,4,4
Senador Vasconcelos,0,2,2,0,1,1
Sepetiba,1,1,1,1,0,2
Sulacap,0,1,1,0,0,1
Tanque,2,3,2,3,2,3
Taquara,13,17,18,12,7,23
Taquara - Jacarepaguá,3,4,5,2,5,2
Tauá,2,3,1,4,1,4
Tenente Jardim,0,1,0,1,0,1
Tijuca,9,21,11,19,4,26
Todos Os Santos,3,9,4,8,3,9
Tomás Coelho,3,0,2,1,1,2
Tomazinho,1,2,0,3,0,3
Trindade,0,2,0,2,1,1
Turiaçu,1,0,0,1,1,0
Vargem Grande,0,2,2,0,1,1
Vargem Pequena,0,1,0,1,0,1
Várzea,0,1,0,1,1,0
Vaz Lobo,2,2,2,2,2,2
Venda Velha,1,0,1,0,1,0
Vicente de Carvalho,0,6,1,5,1,5
Vidigal,1,1,0,2,1,1
Vigário Geral,3,2,4,1,2,3
Vila Americana,0,1,0,1,0,1
Vila Columbia,1,0,0,1,0,1
Vila da Penha,1,8,2,7,3,6
Vila do João,0,1,1,0,1,0
Vila Entre Rios,0,1,0,1,0,1
Vila Guanabara,1,0,0,1,0,1
Vila Heliopolis,0,1,1,0,1,0
Vila Isabel,1,15,8,8,3,13
Vila Kosmos,2,1,2,1,1,2
Vila Maria Helena,0,1,0,1,0,1
Vila Paula,0,1,0,1,0,1
Vila Rosário,1,0,0,1,0,1
Vila Santo Antônio,1,0,0,1,1,0
Vila São João,0,2,2,0,2,0
Vila São Luiz,1,1,1,1,2,0
Vila Tiradentes,0,1,0,1,0,1
Vila Valqueire,1,8,4,5,1,8
Vila Zenith,1,0,1,0,1,0
Vila Zulmira,1,0,1,0,1,0
Vista Alegre,1,6,3,4,1,6
Wona,1,0,0,1,0,1
Xerém,1,0,1,0,0,1
